,Date,Action,Type,HMC_Shares,HYMTF_Shares,HMC_Price,HYMTF_Price
285,2019-03-08,Close Position,upper,1848.4288876243743,1639.344262295082,27.049999237060547,30.5
286,2019-03-11,Open Position,lower,1822.8217077549748,1639.344262295082,27.43000030517578,30.5
287,2019-03-20,Close Position,lower,1820.8303593233788,1639.344262295082,27.459999084472656,30.5
288,2019-03-21,Open Position,upper,1807.664507441349,1613.4236969759077,27.65999984741211,30.989999771118164
289,2019-04-02,Close Position,upper,1785.7142857142858,1718.2130358953177,28.0,29.100000381469727
290,2019-04-03,Open Position,lower,1776.8301735782186,1718.2130358953177,28.139999389648438,29.100000381469727
291,2019-04-12,Close Position,lower,1791.4726002635982,1612.9032258064517,27.90999984741211,31.0
292,2019-04-15,Open Position,upper,1787.629647031386,1612.9032258064517,27.969999313354492,31.0
293,2019-05-23,Close Position,upper,1977.848047544285,1694.915254237288,25.280000686645508,29.5
294,2019-05-24,Open Position,lower,1965.4087637719529,1694.915254237288,25.440000534057617,29.5
295,2019-06-06,Close Position,lower,1964.6364833438631,1499.2504434085345,25.450000762939453,33.349998474121094
296,2019-06-07,Open Position,upper,1954.652077761068,1499.2504434085345,25.579999923706055,33.349998474121094
297,2019-06-19,Close Position,upper,1937.2336704608445,1499.2504434085345,25.809999465942383,33.349998474121094
298,2019-06-20,Open Position,lower,1926.0401295586441,1666.6666666666667,25.959999084472656,30.0
299,2019-07-11,Close Position,lower,1904.036540906345,1136.3636363636363,26.260000228881836,44.0
300,2019-07-12,Open Position,upper,1888.217555300506,1136.3636363636363,26.479999542236328,44.0
301,2019-07-15,Close Position,upper,1883.948691604878,1481.4814814814815,26.540000915527344,33.75
302,2019-07-16,Open Position,lower,1911.314995857933,1526.7175572519084,26.15999984741211,32.75
303,2019-09-12,Close Position,lower,1853.2246422660828,1574.8031496062993,26.979999542236328,31.75
304,2019-09-13,Open Position,upper,1845.018424213333,1574.8031496062993,27.100000381469727,31.75
305,2019-09-16,Close Position,upper,1851.166219041158,1785.076743713972,27.010000228881836,28.010000228881836
306,2019-09-17,Open Position,lower,1852.5379927385068,1785.076743713972,26.989999771118164,28.010000228881836
307,2019-09-19,Close Position,lower,1876.1726347355745,1428.5714285714287,26.649999618530273,35.0
308,2019-09-20,Open Position,upper,1874.0629470795118,1428.5714285714287,26.68000030517578,35.0
309,2019-09-30,Close Position,upper,1917.177919718906,1666.6666666666667,26.079999923706055,30.0
310,2019-10-01,Open Position,lower,1912.045916993791,1612.9032258064517,26.149999618530273,31.0
311,2019-10-10,Close Position,lower,1940.993771573827,1672.8003018064999,25.760000228881836,29.889999389648438
312,2019-10-11,Open Position,lower,1898.9745592434585,1672.8003018064999,26.329999923706055,29.889999389648438
313,2019-10-16,Close Position,lower,1864.2804089833419,1538.4615384615386,26.81999969482422,32.5
